matter	afero
important	grava
to respond	respondi
this	ĉi tiu
as/so	tiel
to forgive	pardoni
to show	montri
to open	malfermi
as * as *	tiel * kiel *
congratulations	gratulon
to be doing/to do (as in "How are you doing?")	farti
both	ambaŭ
tired	laca
newspaper	ĵurnalo
letter	letero
a bit	iomete
sentence	frazo
spanish	la hispana
light	hela
dark	malhela
cool	mojosa
strawberry	frago
lunch	tagmanĝo
cake	kuko
to try	provi
to sell	vendi
again	denove
tail	vosto
pig	porko
chicken	koko
bug (programming)	cimo
fly	muŝo
to smell	flari
salt	salo
to order	mendi
that much	tiom
underwear	kalsono
jeans	ĝinzo
to wear	surhavi
stocking	ŝtrumpo
boot	boto
bathroom	necesejo
to listen	aŭskulti
to act	agi
to be wrong	malpravi
nephews or nieces	genevoj
couple	paro
children	gefiloj
pan	pato
free/gratis	senpaga
spoon	kulero
leaf	folio
piece	peco
sleeve	maniko
box	ĉesto
glasses	okulvitroj
floor	planko
to jump	salti
roof	tegmento
behind	malantaŭ
rainbow	ĉielarko
to thirst	soifi
to hide	kaŝi
to teach	instrui
to fall	fali
line	vico
grandchild	genepo
apple	pomo
to wait	atendi
later	poste
as far as	fare
date	dato
to try out	klopodi
corner	angulo
deaf	surda
box	skatolo
look!	rigardu!
