newspaper/diary (m)	journal
to write	écrire
onion (m)	oignon
fly (f)	mouche
ant (f)	fourmi
shark (m)	requin
pig (m)	cochon
bee (f)	abeille
hen (f)	poule
butterfly (m)	papillon
spider (f)	araignée
to freeze	gèler
cool (temperature)	frais
fish (m)	poisson
bean (m)	haricot
glove (m)	gant
cap (f)	casquette
belt (f)	ceinture
wallet (m)	portefeuille
sock (f)	chausette
lovely	joli
dark	sombre
dark	foncé
candy (m)	bonbon
fog (m)	brouillard
goldfish (m)	poisson rouge
duck (m)	canard
yellow	jaune
vicious	méchant
to hope	souhaiter
light	légèr
kid (m)	gamin
to cook	cusinier
to run	courir
group/union (f)	union
stepbrother (m)	demi-frère
to hold	tenir
son-in-law (m)	gendre
nowadays	des nos jours
mild	douce
airplane (m)	avion
apartment (m)	appartement
castle (m)	chateau
