afero	matter
grava	important
respondi	to respond
ĉi tiu	this
tiel	as/so
pardoni	to forgive
montri	to show
malfermi	to open
tiel * kiel *	as * as *
gratulon	congratulations
farti	to be doing/to do (as in "How are you doing?")
ambaŭ	both
laca	tired
ĵurnalo	newspaper
letero	letter
iomete	a bit
frazo	sentence
la hispana	spanish
hela	light
malhela	dark
mojosa	cool
frago	strawberry
tagmanĝo	lunch
kuko	cake
provi	to try
vendi	to sell
denove	again
vosto	tail
porko	pig
koko	chicken
cimo	bug (programming)
muŝo	fly
flari	to smell
salo	salt
mendi	to order
tiom	that much
kalsono	underwear
ĝinzo	jeans
surhavi	to wear
ŝtrumpo	stocking
boto	boot
necesejo	bathroom
aŭskulti	to listen
agi	to act
malpravi	to be wrong
genevoj	nephews or nieces
paro	couple
gefiloj	children
pato	pan
senpaga	free/gratis
kulero	spoon
folio	leaf
peco	piece
maniko	sleeve
ĉesto	box
okulvitroj	glasses
planko	floor
salti	to jump
tegmento	roof
malantaŭ	behind
ĉielarko	rainbow
soifi	to thirst
kaŝi	to hide
instrui	to teach
fali	to fall
vico	line
genepo	grandchild
pomo	apple
atendi	to wait
poste	later
