journal	newspaper/diary (m)
écrire	to write
oignon	onion (m)
mouche	fly (f)
fourmi	ant (f)
requin	shark (m)
cochon	pig (m)
abeille	bee (f)
poule	hen (f)
papillon	butterfly (m)
araignée	spider (f)
gèler	to freeze
frais	cool (temperature)
poisson	fish (m)
haricot	bean (m)
gant	glove (m)
casquette	cap (f)
ceinture	belt (f)
portefeuille	wallet (m)
chausette	sock (f)
joli	lovely
sombre	dark
foncé	dark
bonbon	candy (m)
brouillard	fog (m)
poisson rouge	goldfish (m)
canard	duck (m)
jaune	yellow
méchant	vicious
souhaiter	to hope
légèr	light
gamin	kid (m)
cusinier	to cook
courir	to run
union	group/union (f)
demi-frère	stepbrother (m)
tenir	to hold
gendre	son-in-law (m)
des nos jours	nowadays
douce	mild
