_\n	pity this busy monster, manunkind,
_\nyour victim (death and life safely beyond)\n	not. Progress is a comfortable disease:
not. Progress is a comfortable disease:\n_\n	your victim (death and life safely beyond)
_\n--- electrons deify one razorblade\ninto a mountainrange; lenses extend\nunwish through curving wherewhen till unwish\nreturns on its unself\n	plays with the bigness of his littleness
plays with the bigness of his littleness\n_\ninto a mountainrange; lenses extend\nunwish through curving wherewhen till unwish\nreturns on its unself\n	--- electrons deify one razorblade
plays with the bigness of his littleness\n--- electrons deify one razorblade\n_\nunwish through curving wherewhen till unwish\nreturns on its unself\n	into a mountainrange; lenses extend
plays with the bigness of his littleness\n--- electrons deify one razorblade\ninto a mountainrange; lenses extend\n_\nreturns on its unself\n	unwish through curving wherewhen till unwish
plays with the bigness of his littleness\n--- electrons deify one razorblade\ninto a mountainrange; lenses extend\nunwish through curving wherewhen till unwish\n_\n	returns on its unself
_\nis not a world of born --- pity poor flesh\n	               A world of made
               A world of made\n_\n	is not a world of born --- pity poor flesh
_\nfine specimen of hypermagical\n	and trees, poor stars and stones, but never this
and trees, poor stars and stones, but never this\n_\n	fine specimen of hypermagical
_\n	ultraomnipotence. We doctors know
_\nof a good universe next door; let's go\n	a hopeless case if --- listen: there's a hell
a hopeless case if --- listen: there's a hell\n_\n	of a good universe next door; let's go
pity this busy monster, manunkind,\n	_\n
not. Progress is a comfortable disease:\n	_\nyour victim (death and life safely beyond)\n
your victim (death and life safely beyond)\n	not. Progress is a comfortable disease:\n_\n
plays with the bigness of his littleness\n	_\n--- electrons deify one razorblade\ninto a mountainrange; lenses extend\nunwish through curving wherewhen till unwish\nreturns on its unself\n
--- electrons deify one razorblade\n	plays with the bigness of his littleness\n_\ninto a mountainrange; lenses extend\nunwish through curving wherewhen till unwish\nreturns on its unself\n
into a mountainrange; lenses extend\n	plays with the bigness of his littleness\n--- electrons deify one razorblade\n_\nunwish through curving wherewhen till unwish\nreturns on its unself\n
unwish through curving wherewhen till unwish\n	plays with the bigness of his littleness\n--- electrons deify one razorblade\ninto a mountainrange; lenses extend\n_\nreturns on its unself\n
returns on its unself\n	plays with the bigness of his littleness\n--- electrons deify one razorblade\ninto a mountainrange; lenses extend\nunwish through curving wherewhen till unwish\n_\n
               A world of made\n	_\nis not a world of born --- pity poor flesh\n
is not a world of born --- pity poor flesh\n	               A world of made\n_\n
and trees, poor stars and stones, but never this\n	_\nfine specimen of hypermagical\n
fine specimen of hypermagical\n	and trees, poor stars and stones, but never this\n_\n
ultraomnipotence. We doctors know\n	_\n
a hopeless case if --- listen: there's a hell\n	_\nof a good universe next door; let's go\n
of a good universe next door; let's go\n	a hopeless case if --- listen: there's a hell\n_\n
1\n	pity this busy monster, manunkind,\n
2\n	not. Progress is a comfortable disease:\nyour victim (death and life safely beyond)\n
3\n	plays with the bigness of his littleness\n--- electrons deify one razorblade\ninto a mountainrange; lenses extend\nunwish through curving wherewhen till unwish\nreturns on its unself\n
4\n	               A world of made\nis not a world of born --- pity poor flesh\n
5\n	and trees, poor stars and stones, but never this\nfine specimen of hypermagical\n
6\n	ultraomnipotence. We doctors know\n
7\n	a hopeless case if --- listen: there's a hell\nof a good universe next door; let's go\n
